# Algorithm: Koopman-LQR Controller
# Date: 2026-09-17 15:09:39
time,step,valid,ref_x,ref_y,act_x,act_y,err_x,err_y,err_dist,u_x,u_y
0.2079,0,1,-0.016,0.016,-0.279,0.366,0.263,-0.351,0.438,29,-45
0.4159,1,1,0.047,-0.047,-0.243,0.328,0.29,-0.375,0.474,32,-45
0.6079,2,1,0.11,-0.11,-0.066,0.16,0.176,-0.271,0.323,18,-38
0.8161,3,1,0.173,-0.173,0.112,-0.104,0.061,-0.07,0.092,3,-15
1.0238,4,1,0.236,-0.236,0.218,-0.29,0.018,0.054,0.057,-1,0
1.2253,5,1,0.3,-0.299,0.223,-0.353,0.077,0.054,0.094,4,0
1.4236,6,1,0.363,-0.362,0.248,-0.354,0.116,-0.008,0.116,9,-7
1.6315,7,1,0.427,-0.424,0.293,-0.389,0.133,-0.035,0.138,11,-11
1.8373,8,1,0.491,-0.487,0.356,-0.429,0.135,-0.058,0.147,12,-13
2.0323,9,1,0.555,-0.549,0.467,-0.552,0.088,0.003,0.088,6,-7
2.2399,10,1,0.619,-0.612,0.562,-0.656,0.057,0.044,0.072,2,-2
2.4462,11,1,0.684,-0.674,0.615,-0.71,0.068,0.036,0.077,4,-3
2.6401,12,1,0.749,-0.736,0.651,-0.73,0.098,-0.006,0.098,8,-8
2.8595,13,1,0.814,-0.798,0.732,-0.798,0.082,0.001,0.082,6,-8
3.0585,14,1,0.88,-0.859,0.798,-0.856,0.081,-0.003,0.081,6,-8
3.2595,15,1,0.946,-0.92,0.869,-0.909,0.077,-0.011,0.078,6,-10
3.4593,16,1,1.012,-0.981,0.935,-1.021,0.078,0.039,0.087,6,-4
3.6631,17,1,1.08,-1.042,0.994,-1.068,0.086,0.026,0.09,8,-6
3.863,18,1,1.147,-1.103,1.059,-1.139,0.088,0.036,0.095,8,-5
4.0633,19,1,1.215,-1.163,1.115,-1.196,0.1,0.034,0.106,10,-5
4.2718,20,1,1.284,-1.223,1.237,-1.241,0.047,0.019,0.05,5,-8
4.4759,21,1,1.354,-1.282,1.304,-1.305,0.049,0.023,0.054,6,-8
4.6722,22,1,1.424,-1.341,1.358,-1.362,0.065,0.021,0.069,8,-8
4.8775,23,1,1.494,-1.4,1.432,-1.46,0.062,0.06,0.087,8,-4
5.0807,24,1,1.566,-1.458,1.53,-1.512,0.036,0.054,0.065,6,-5
5.2798,25,1,1.638,-1.515,1.582,-1.57,0.056,0.054,0.078,9,-5
5.488,26,1,1.711,-1.572,1.643,-1.622,0.068,0.049,0.084,11,-6
