trajectory_id,steps,fs_edmd_rmse,edmd_rmse,edmd_dl_rmse
6,299,1.2845437885088518,2.5600091179231454,1.0617989862218669
12,299,1.308078041317904,2.5959785071221217,0.9859957419906737
32,299,2.54104661852613,5.424050983626924,2.3500121222843124
36,299,2.530232329706201,1.888272063763004,2.820442331720575
42,299,1.9698450443593822,2.5460065208168996,1.7813854861549514
64,299,0.8837964071436917,3.5961832949067394,1.2419836116843592
66,299,0.7345807880253542,2.3569266982512582,1.1563939482905337
77,299,1.7757813701603022,2.924837171493976,1.056905655478907
83,299,2.3618190127742675,1.726725230615497,2.0240930937471893
93,299,1.4593039435347697,5.998850863710237,1.73517666260459
