[1/54] soft-fs-grid-001: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-001 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.0001 --fs-eta-d 0.005
[2/54] soft-fs-grid-002: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-002 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.0001 --fs-eta-d 0.01
[3/54] soft-fs-grid-003: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-003 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.0001 --fs-eta-d 0.03
[4/54] soft-fs-grid-004: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-004 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.001 --fs-eta-d 0.005
[5/54] soft-fs-grid-005: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-005 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.001 --fs-eta-d 0.01
[6/54] soft-fs-grid-006: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-006 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.001 --fs-eta-d 0.03
[7/54] soft-fs-grid-007: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-007 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.01 --fs-eta-d 0.005
[8/54] soft-fs-grid-008: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-008 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.01 --fs-eta-d 0.01
[9/54] soft-fs-grid-009: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-009 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.0001 --fs-beta 0.01 --fs-eta-d 0.03
[10/54] soft-fs-grid-010: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-010 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.001 --fs-beta 0.0001 --fs-eta-d 0.005
[11/54] soft-fs-grid-011: C:\Users\Windows\.conda\envs\edmddl2\python.exe C:\Users\Windows\Desktop\论文材料\建模代码\scripts\run_soft_experiment.py --run-id soft-fs-grid-011 --seed 20260911 --models fs_edmd,edmd --lift-poly-degree 4 --lift-rbf-grid 9 --lift-rbf-sigma-scale 1 --fs-n 40 --fs-lam 0.001 --fs-beta 0.0001 --fs-eta-d 0.01
